Station Name,latitude,longitude,Num_Bikes,Empty_slots
Gaol Walk,51.893604,-8.494174,10,17
Fitzgerald's Park,51.89555327,-8.49341266,12,3
Bandfield,51.89580557,-8.4891363,20,12
Dyke Parade,51.89718531,-8.48458467,7,12
Pope's Quay,51.901632,-8.477385,16,2
North Main St.,51.89974733,-8.47844005,4,11
Grattan St.,51.8984737,-8.47977966,5,5
Wandesford Quay,51.896492,-8.48004,14,11
Bishop St.,51.89468826,-8.4790268,11,4
Camden Quay,51.901054,-8.473342,2,17
Corn Market St.,51.9,-8.477,17,5
Lapp's Quay,51.898144,-8.465735,8,23
St. Patricks St.,51.89850471,-8.47261531,0,20
South Main St.,51.89694605306899,-8.47689553164735,8,2
Grand Parade,51.89748023175811,-8.47536977381303,7,12
Peace Park,51.89619469926869,-8.47347588279142,7,13
Emmet Place,51.90020812214529,-8.47270466388061,14,6
South Mall,51.89683855516081,-8.46989982762231,8,21
Cork School of Music,51.89631707505499,-8.46809252166047,13,2
Brian Boru Bridge,51.900405,-8.465153,6,3
Bus Station,51.89951532,-8.46695074,7,13
Cork City Hall,51.897,-8.466,10,4
Lower Glanmire Rd.,51.90137057,-8.46411816,15,5
Clontarf Street,51.89848186918711,-8.46562933177544,3,7
Kent Station,51.90196195,-8.45821512,21,8
Kent West,51.90128,-8.45919,8,15
Kent East,51.90115,-8.4589,14,8
Father Mathew Statue,51.89967344,-8.4706278,2,13
MTU,51.886466,-8.531908,8,52
Magazine Road,51.88899,-8.503611,11,19
Mardyke Walk,51.89403,-8.502429,22,9
College View,51.891943,-8.490924,10,17
Kenley,51.888797,-8.527718,12,18
Wilton Road,51.884514,-8.506829,7,23
